DB Column Name,Qualtrics Column Name (Long Form),Qualtrics Unique ID
StartDate,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}"
EndDate,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}"
Status,Response Type,"{""ImportId"":""status""}"
IPAddress,IP Address,"{""ImportId"":""ipAddress""}"
Progress,Progress,"{""ImportId"":""progress""}"
Duration (in seconds),Duration (in seconds),"{""ImportId"":""duration""}"
Finished,Finished,"{""ImportId"":""finished""}"
RecordedDate,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}"
ResponseId,Response ID,"{""ImportId"":""_recordId""}"
RecipientLastName,Recipient Last Name,"{""ImportId"":""recipientLastName""}"
RecipientFirstName,Recipient First Name,"{""ImportId"":""recipientFirstName""}"
RecipientEmail,Recipient Email,"{""ImportId"":""recipientEmail""}"
ExternalReference,External Data Reference,"{""ImportId"":""externalDataReference""}"
LocationLatitude,Location Latitude,"{""ImportId"":""locationLatitude""}"
LocationLongitude,Location Longitude,"{""ImportId"":""locationLongitude""}"
DistributionChannel,Distribution Channel,"{""ImportId"":""distributionChannel""}"
UserLanguage,User Language,"{""ImportId"":""userLanguage""}"
Q1,SurveyIntro,"{""ImportId"":""QID1216588815""}"
Q2,"Results from the LASER are primarily used to improve educational practices and inform policy, but may be used in peer-reviewed publications or other future research studies. 
 

Your responses are confidential and will be combined, in aggregate, with those received from other participants, and will be used only to identify broad statistical trends. 

 

None of your individual information will be shared or reported. 

 

If you do not give your consent, we will NOT use your response for future research studies; however, you are still required to complete the LASER for your class. 

 

Do you consent for your responses to be included in future studies?","{""ImportId"":""QID1216588816""}"
QID314,MicrophoneCompatabilityCheck,"{""ImportId"":""QID314""}"
Q3,ClassRegistration,"{""ImportId"":""QID1216588817""}"
Q4_1,LangCourseInfo - Language,"{""ImportId"":""QID1216588818_4""}"
Q4_2,LangCourseInfo - Course,"{""ImportId"":""QID1216588818_5""}"
Q4_3,LangCourseInfo - Section,"{""ImportId"":""QID1216588818_6""}"
Q1,For what class have you signed up for?,"{""ImportId"":""QID1216589078_TEXT""}"
Q2,For which semester are you taking this test?,"{""ImportId"":""QID1216589079""}"
Q3,InstructorLastName,"{""ImportId"":""QID1216589080_TEXT""}"
Q4,InstructorEmail,"{""ImportId"":""QID1216589081_TEXT""}"
Q1,GivenName,"{""ImportId"":""QID1216589091_TEXT""}"
Q2,Surname,"{""ImportId"":""QID1216589092_TEXT""}"
Q3,Gender,"{""ImportId"":""QID1216589093""}"
Q4,What is your age?,"{""ImportId"":""QID1216589094_TEXT""}"
Q5,BYUID,"{""ImportId"":""QID1216589095_TEXT""}"
Q6,NetID,"{""ImportId"":""QID1216589096_TEXT""}"
Q7,Email,"{""ImportId"":""QID1216589097_TEXT""}"
Q8,Phone,"{""ImportId"":""QID1216589098_TEXT""}"
Q9,Please contact me with opportunities to be involved in other language learning programs or research,"{""ImportId"":""QID1216589099""}"
Q10,LanguageToSurvey,"{""ImportId"":""QID1216589100""}"
Q2,SpeakStudy - Selected Choice,"{""ImportId"":""QID1216589154""}"
Q2_61_TEXT,SpeakStudy - Other: - Text,"{""ImportId"":""QID1216589154_15_TEXT""}"
Q3_0_GROUP,LangDomOrder - Groups - Dominance,"{""ImportId"":""QID1216589155_0_GROUP""}"
Q3_0_30_RANK,LangDomOrder - Ranks - Dominance - Albanian - Rank,"{""ImportId"":""QID1216589155_G0_x30_RANK""}"
Q3_0_87_RANK,LangDomOrder - Ranks - Dominance - Arabic - Rank,"{""ImportId"":""QID1216589155_G0_x87_RANK""}"
Q3_0_31_RANK,LangDomOrder - Ranks - Dominance - ASL - Rank,"{""ImportId"":""QID1216589155_G0_x31_RANK""}"
Q3_0_32_RANK,LangDomOrder - Ranks - Dominance - Armenian - Rank,"{""ImportId"":""QID1216589155_G0_x32_RANK""}"
Q3_0_33_RANK,LangDomOrder - Ranks - Dominance - Bulgarian - Rank,"{""ImportId"":""QID1216589155_G0_x33_RANK""}"
Q3_0_34_RANK,LangDomOrder - Ranks - Dominance - Burmese - Rank,"{""ImportId"":""QID1216589155_G0_x34_RANK""}"
Q3_0_35_RANK,LangDomOrder - Ranks - Dominance - Cambodian (Khmer) - Rank,"{""ImportId"":""QID1216589155_G0_x35_RANK""}"
Q3_0_36_RANK,LangDomOrder - Ranks - Dominance - Chinese (Cantonese) - Rank,"{""ImportId"":""QID1216589155_G0_x36_RANK""}"
Q3_0_37_RANK,LangDomOrder - Ranks - Dominance - Chinese (Mandarin) - Rank,"{""ImportId"":""QID1216589155_G0_x37_RANK""}"
Q3_0_38_RANK,LangDomOrder - Ranks - Dominance - Cebuano - Rank,"{""ImportId"":""QID1216589155_G0_x38_RANK""}"
Q3_0_39_RANK,LangDomOrder - Ranks - Dominance - Croatian - Rank,"{""ImportId"":""QID1216589155_G0_x39_RANK""}"
Q3_0_40_RANK,LangDomOrder - Ranks - Dominance - Czech - Rank,"{""ImportId"":""QID1216589155_G0_x40_RANK""}"
Q3_0_41_RANK,LangDomOrder - Ranks - Dominance - Danish - Rank,"{""ImportId"":""QID1216589155_G0_x41_RANK""}"
Q3_0_42_RANK,LangDomOrder - Ranks - Dominance - Dutch - Rank,"{""ImportId"":""QID1216589155_G0_x42_RANK""}"
Q3_0_4_RANK,LangDomOrder - Ranks - Dominance - English - Rank,"{""ImportId"":""QID1216589155_G0_x4_RANK""}"
Q3_0_43_RANK,LangDomOrder - Ranks - Dominance - Estonian - Rank,"{""ImportId"":""QID1216589155_G0_x43_RANK""}"
Q3_0_44_RANK,LangDomOrder - Ranks - Dominance - Fijian - Rank,"{""ImportId"":""QID1216589155_G0_x44_RANK""}"
Q3_0_45_RANK,LangDomOrder - Ranks - Dominance - Finnish - Rank,"{""ImportId"":""QID1216589155_G0_x45_RANK""}"
Q3_0_29_RANK,LangDomOrder - Ranks - Dominance - French - Rank,"{""ImportId"":""QID1216589155_G0_x29_RANK""}"
Q3_0_46_RANK,LangDomOrder - Ranks - Dominance - Georgian - Rank,"{""ImportId"":""QID1216589155_G0_x46_RANK""}"
Q3_0_47_RANK,LangDomOrder - Ranks - Dominance - German - Rank,"{""ImportId"":""QID1216589155_G0_x47_RANK""}"
Q3_0_48_RANK,LangDomOrder - Ranks - Dominance - Greek - Rank,"{""ImportId"":""QID1216589155_G0_x48_RANK""}"
Q3_0_49_RANK,LangDomOrder - Ranks - Dominance - Guarani - Rank,"{""ImportId"":""QID1216589155_G0_x49_RANK""}"
Q3_0_50_RANK,LangDomOrder - Ranks - Dominance - Haitian - Rank,"{""ImportId"":""QID1216589155_G0_x50_RANK""}"
Q3_0_88_RANK,LangDomOrder - Ranks - Dominance - Hebrew - Rank,"{""ImportId"":""QID1216589155_G0_x88_RANK""}"
Q3_0_51_RANK,LangDomOrder - Ranks - Dominance - Hiligaynon - Rank,"{""ImportId"":""QID1216589155_G0_x51_RANK""}"
Q3_0_52_RANK,LangDomOrder - Ranks - Dominance - Hindi - Rank,"{""ImportId"":""QID1216589155_G0_x52_RANK""}"
Q3_0_53_RANK,LangDomOrder - Ranks - Dominance - Hmong - Rank,"{""ImportId"":""QID1216589155_G0_x53_RANK""}"
Q3_0_54_RANK,LangDomOrder - Ranks - Dominance - Hungarian - Rank,"{""ImportId"":""QID1216589155_G0_x54_RANK""}"
Q3_0_55_RANK,LangDomOrder - Ranks - Dominance - Icelandic - Rank,"{""ImportId"":""QID1216589155_G0_x55_RANK""}"
Q3_0_56_RANK,LangDomOrder - Ranks - Dominance - Indonesian - Rank,"{""ImportId"":""QID1216589155_G0_x56_RANK""}"
Q3_0_57_RANK,LangDomOrder - Ranks - Dominance - Italian - Rank,"{""ImportId"":""QID1216589155_G0_x57_RANK""}"
Q3_0_58_RANK,LangDomOrder - Ranks - Dominance - Japanese - Rank,"{""ImportId"":""QID1216589155_G0_x58_RANK""}"
Q3_0_59_RANK,LangDomOrder - Ranks - Dominance - Kekchi - Rank,"{""ImportId"":""QID1216589155_G0_x59_RANK""}"
Q3_0_60_RANK,LangDomOrder - Ranks - Dominance - Kiribati - Rank,"{""ImportId"":""QID1216589155_G0_x60_RANK""}"
Q3_0_61_RANK,LangDomOrder - Ranks - Dominance - Korean - Rank,"{""ImportId"":""QID1216589155_G0_x61_RANK""}"
Q3_0_62_RANK,LangDomOrder - Ranks - Dominance - Lao - Rank,"{""ImportId"":""QID1216589155_G0_x62_RANK""}"
Q3_0_89_RANK,LangDomOrder - Ranks - Dominance - Latin - Rank,"{""ImportId"":""QID1216589155_G0_x89_RANK""}"
Q3_0_63_RANK,LangDomOrder - Ranks - Dominance - Latvian - Rank,"{""ImportId"":""QID1216589155_G0_x63_RANK""}"
Q3_0_64_RANK,LangDomOrder - Ranks - Dominance - Lithuanian - Rank,"{""ImportId"":""QID1216589155_G0_x64_RANK""}"
Q3_0_65_RANK,LangDomOrder - Ranks - Dominance - Malagasy - Rank,"{""ImportId"":""QID1216589155_G0_x65_RANK""}"
Q3_0_66_RANK,LangDomOrder - Ranks - Dominance - Malay - Rank,"{""ImportId"":""QID1216589155_G0_x66_RANK""}"
Q3_0_67_RANK,LangDomOrder - Ranks - Dominance - Marshallese - Rank,"{""ImportId"":""QID1216589155_G0_x67_RANK""}"
Q3_0_68_RANK,LangDomOrder - Ranks - Dominance - Mongolian - Rank,"{""ImportId"":""QID1216589155_G0_x68_RANK""}"
Q3_0_69_RANK,LangDomOrder - Ranks - Dominance - Norwegian - Rank,"{""ImportId"":""QID1216589155_G0_x69_RANK""}"
Q3_0_70_RANK,LangDomOrder - Ranks - Dominance - Persian - Rank,"{""ImportId"":""QID1216589155_G0_x70_RANK""}"
Q3_0_71_RANK,LangDomOrder - Ranks - Dominance - Polish - Rank,"{""ImportId"":""QID1216589155_G0_x71_RANK""}"
Q3_0_27_RANK,LangDomOrder - Ranks - Dominance - Portuguese - Rank,"{""ImportId"":""QID1216589155_G0_x27_RANK""}"
Q3_0_72_RANK,LangDomOrder - Ranks - Dominance - Romanian - Rank,"{""ImportId"":""QID1216589155_G0_x72_RANK""}"
Q3_0_73_RANK,LangDomOrder - Ranks - Dominance - Russian - Rank,"{""ImportId"":""QID1216589155_G0_x73_RANK""}"
Q3_0_74_RANK,LangDomOrder - Ranks - Dominance - Samoan - Rank,"{""ImportId"":""QID1216589155_G0_x74_RANK""}"
Q3_0_75_RANK,LangDomOrder - Ranks - Dominance - Serbian - Rank,"{""ImportId"":""QID1216589155_G0_x75_RANK""}"
Q3_0_76_RANK,LangDomOrder - Ranks - Dominance - Slovak - Rank,"{""ImportId"":""QID1216589155_G0_x76_RANK""}"
Q3_0_77_RANK,LangDomOrder - Ranks - Dominance - Slovenian - Rank,"{""ImportId"":""QID1216589155_G0_x77_RANK""}"
Q3_0_16_RANK,LangDomOrder - Ranks - Dominance - Spanish - Rank,"{""ImportId"":""QID1216589155_G0_x16_RANK""}"
Q3_0_78_RANK,LangDomOrder - Ranks - Dominance - Swedish - Rank,"{""ImportId"":""QID1216589155_G0_x78_RANK""}"
Q3_0_85_RANK,LangDomOrder - Ranks - Dominance - Tagalog - Rank,"{""ImportId"":""QID1216589155_G0_x85_RANK""}"
Q3_0_79_RANK,LangDomOrder - Ranks - Dominance - Thai - Rank,"{""ImportId"":""QID1216589155_G0_x79_RANK""}"
Q3_0_80_RANK,LangDomOrder - Ranks - Dominance - Tongan - Rank,"{""ImportId"":""QID1216589155_G0_x80_RANK""}"
Q3_0_81_RANK,LangDomOrder - Ranks - Dominance - Turkish - Rank,"{""ImportId"":""QID1216589155_G0_x81_RANK""}"
Q3_0_82_RANK,LangDomOrder - Ranks - Dominance - Ukrainian - Rank,"{""ImportId"":""QID1216589155_G0_x82_RANK""}"
Q3_0_83_RANK,LangDomOrder - Ranks - Dominance - Vietnamese - Rank,"{""ImportId"":""QID1216589155_G0_x83_RANK""}"
Q3_0_15_RANK,LangDomOrder - Ranks - Dominance - Other: - Rank,"{""ImportId"":""QID1216589155_G0_x15_RANK""}"
Q3_15_TEXT,LangDomOrder - Other: - Text,"{""ImportId"":""QID1216589155_x15_TEXT""}"
Q4,NativeLanguage - Selected Choice,"{""ImportId"":""QID1216589156""}"
Q4_15_TEXT,NativeLanguage - Other: - Text,"{""ImportId"":""QID1216589156_x15_TEXT""}"
Q5,LanguageAcqAge,"{""ImportId"":""QID1216589157""}"
Q6,LanguageLearningEnvironment - Selected Choice,"{""ImportId"":""QID1216589158""}"
Q6_4_TEXT,LanguageLearningEnvironment - Other (please specify how and for how long): - Text,"{""ImportId"":""QID1216589158_8_TEXT""}"
Q7,"Where did you serve your mission? (If you served in more than one country, select all that apply. If your exact country is not listed, type in the country.)","{""ImportId"":""QID1216589159""}"
Q8_1,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - United States of America","{""ImportId"":""QID1216589160_1""}"
Q8_172,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Canada","{""ImportId"":""QID1216589160_2""}"
Q8_173,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Barbados","{""ImportId"":""QID1216589160_3""}"
Q8_174,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Costa Rica","{""ImportId"":""QID1216589160_4""}"
Q8_257,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Dominica","{""ImportId"":""QID1216589160_5""}"
Q8_308,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - El Salvador","{""ImportId"":""QID1216589160_6""}"
Q8_309,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Grenada","{""ImportId"":""QID1216589160_7""}"
Q8_310,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Guatemala","{""ImportId"":""QID1216589160_8""}"
Q8_311,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Honduras","{""ImportId"":""QID1216589160_9""}"
Q8_312,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Panama","{""ImportId"":""QID1216589160_10""}"
Q8_313,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Saint Lucia","{""ImportId"":""QID1216589160_11""}"
Q8_314,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Trinidad and Tobago","{""ImportId"":""QID1216589160_12""}"
Q8_315,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Antigua and Barbuda","{""ImportId"":""QID1216589160_13""}"
Q8_316,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Bahamas","{""ImportId"":""QID1216589160_14""}"
Q8_317,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Belize","{""ImportId"":""QID1216589160_15""}"
Q8_318,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Cuba","{""ImportId"":""QID1216589160_16""}"
Q8_319,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Domincan Republic","{""ImportId"":""QID1216589160_17""}"
Q8_320,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Haiti","{""ImportId"":""QID1216589160_18""}"
Q8_321,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Jamaica","{""ImportId"":""QID1216589160_19""}"
Q8_322,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Mexico","{""ImportId"":""QID1216589160_20""}"
Q8_323,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Nicaragua","{""ImportId"":""QID1216589160_21""}"
Q8_324,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Puerto Rico","{""ImportId"":""QID1216589160_22""}"
Q8_325,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Saint Kitts","{""ImportId"":""QID1216589160_23""}"
Q8_326,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Saint Vincent","{""ImportId"":""QID1216589160_24""}"
Q8_327,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - US Virgin Islands","{""ImportId"":""QID1216589160_25""}"
Q8_353,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - No Name","{""ImportId"":""QID1216589160_26""}"
Q8_355,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Argentina","{""ImportId"":""QID1216589160_27""}"
Q8_356,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Bolivia","{""ImportId"":""QID1216589160_28""}"
Q8_357,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Brazil","{""ImportId"":""QID1216589160_29""}"
Q8_358,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Chile","{""ImportId"":""QID1216589160_30""}"
Q8_359,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Colombia","{""ImportId"":""QID1216589160_31""}"
Q8_360,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Ecuador","{""ImportId"":""QID1216589160_32""}"
Q8_361,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Guyana","{""ImportId"":""QID1216589160_33""}"
Q8_362,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Paraguay","{""ImportId"":""QID1216589160_34""}"
Q8_363,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Peru","{""ImportId"":""QID1216589160_35""}"
Q8_364,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Suriname","{""ImportId"":""QID1216589160_36""}"
Q8_365,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Uruguay","{""ImportId"":""QID1216589160_37""}"
Q8_395,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Venezuela","{""ImportId"":""QID1216589160_38""}"
Q8_396,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Albania","{""ImportId"":""QID1216589160_39""}"
Q8_397,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Andorra","{""ImportId"":""QID1216589160_40""}"
Q8_398,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Austria","{""ImportId"":""QID1216589160_41""}"
Q8_399,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Belarus","{""ImportId"":""QID1216589160_42""}"
Q8_400,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Belgium","{""ImportId"":""QID1216589160_43""}"
Q8_401,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Bosnia and Herzegovina","{""ImportId"":""QID1216589160_44""}"
Q8_402,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Bulgaria","{""ImportId"":""QID1216589160_45""}"
Q8_403,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Croatia","{""ImportId"":""QID1216589160_46""}"
Q8_404,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Czech Republic","{""ImportId"":""QID1216589160_47""}"
Q8_405,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Denmark","{""ImportId"":""QID1216589160_48""}"
Q8_406,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Estonia","{""ImportId"":""QID1216589160_49""}"
Q8_407,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Finland","{""ImportId"":""QID1216589160_50""}"
Q8_408,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - France","{""ImportId"":""QID1216589160_51""}"
Q8_409,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Germany","{""ImportId"":""QID1216589160_52""}"
Q8_410,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Greece","{""ImportId"":""QID1216589160_53""}"
Q8_411,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Hungary","{""ImportId"":""QID1216589160_54""}"
Q8_412,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Iceland","{""ImportId"":""QID1216589160_55""}"
Q8_413,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Ireland","{""ImportId"":""QID1216589160_56""}"
Q8_414,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Italy","{""ImportId"":""QID1216589160_57""}"
Q8_415,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Kosovo","{""ImportId"":""QID1216589160_58""}"
Q8_416,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Latvia","{""ImportId"":""QID1216589160_59""}"
Q8_417,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Liechtenstein","{""ImportId"":""QID1216589160_60""}"
Q8_418,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Lithuania","{""ImportId"":""QID1216589160_61""}"
Q8_419,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Luxembourg","{""ImportId"":""QID1216589160_62""}"
Q8_420,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Republic of North Macedonia","{""ImportId"":""QID1216589160_63""}"
Q8_421,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Malta","{""ImportId"":""QID1216589160_64""}"
Q8_422,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Moldova","{""ImportId"":""QID1216589160_65""}"
Q8_423,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Monaco","{""ImportId"":""QID1216589160_66""}"
Q8_424,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Montenegro","{""ImportId"":""QID1216589160_67""}"
Q8_425,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Netherlands","{""ImportId"":""QID1216589160_68""}"
Q8_426,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Norway","{""ImportId"":""QID1216589160_69""}"
Q8_427,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Poland","{""ImportId"":""QID1216589160_70""}"
Q8_428,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Portugal","{""ImportId"":""QID1216589160_71""}"
Q8_429,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Romania","{""ImportId"":""QID1216589160_72""}"
Q8_430,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Russia","{""ImportId"":""QID1216589160_73""}"
Q8_431,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - San Marino","{""ImportId"":""QID1216589160_74""}"
Q8_432,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Serbia","{""ImportId"":""QID1216589160_75""}"
Q8_433,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Slovakia","{""ImportId"":""QID1216589160_76""}"
Q8_434,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Slovenia","{""ImportId"":""QID1216589160_77""}"
Q8_435,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Spain","{""ImportId"":""QID1216589160_78""}"
Q8_436,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Sweden","{""ImportId"":""QID1216589160_79""}"
Q8_437,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Switzerland","{""ImportId"":""QID1216589160_80""}"
Q8_438,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Ukraine","{""ImportId"":""QID1216589160_81""}"
Q8_439,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - United Kingdom","{""ImportId"":""QID1216589160_82""}"
Q8_440,"Please select the country(ies) that you have served in.
Please rank the countries in order of duration, having served the most time in #1. - Vatican City","{""ImportId"":""QID1216589160_83""}"
